movie_id;recommendations
47933;602, 68735, 43074, 258489, 188927, 127380, 302699, 291805, 308531, 207932, 246655, 297761, 324668, 328111, 278154, 209112, 205126, 205584, 217, 267860
2789;221110, 87421, 2787, 207933, 2791, 22, 557, 10199, 7451, 10483, 8409, 435, 9381, 244839, 6963, 9737, 563, 1715, 71679, 134374
19848;71366, 266313, 1071670, 54067, 16096, 25462, 16094, 265018, 13830, 9563, 4421, 736769, 10634, 445651, 370172, 872585, 453395, 926980, 466420, 944401
37137;36593, 12573, 37136, 181283, 10535, 18240, 15602, 7290, 38794, 2107, 499546, 157824, 4695, 13945, 376501, 486072, 52891, 50327, 18447, 58018
522;1909, 162, 4104, 1587, 75, 22, 377, 9768, 87093, 2086, 9366, 25389, 30295, 41662, 9956, 38291, 13728, 56972, 18587, 6183
88005;7211, 147773, 48838, 84332, 401, 362476, 16250, 37828, 121789, 20006, 378087, 44866, 630922, 19166, 259956, 14275, 172828, 103332, 84290, 329750
108346;122368, 611213, 500852, 317442, 518158, 537915, 1020394, 583083, 709629, 19545, 741067, 850356, 239523, 500904, 366672, 755339, 761053, 240906, 532321, 511138
1957;5852, 4379, 7303, 24070, 208869, 12499, 348666, 39422, 18940, 435312, 800669, 428586, 31640, 694527, 6346, 20682, 890316, 422052, 28660, 73348
235271;633685, 456017, 792517, 20162, 748897, 1083699, 92384, 608655, 47559, 653712, 87587, 254024, 665388, 881764, 115626, 17496, 628534, 481042, 415749
11778;10935, 1578, 510, 792, 28, 5925, 524, 3116, 15739, 10637, 311, 698, 8348, 21450, 11951, 18988, 11455, 7979, 1598, 103
